Description,domination_number,diameter
Medium rising,1.75,2.875
Long rising,3.054054054054054,3.7567567567567566
Long complex,3.0869565217391304,3.5652173913043477
Short complex ,1.5714285714285714,1.8571428571428572
Medium complex,1.0,1.6666666666666667
Short rising,2.0,2.0
 ,3.0,5.0
