Graph,Description,domination_number,total_domination_number,connected_domination_number,independence_number,zero_forcing_number,diameter,radius,order,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,min_degree,max_degree,clique_number,residue,annihilation_number,vertex_cover_number,girth,density,estrada_index,transitivity,global_efficiency,local_efficiency,wiener_index,algebraic_connectivity,k-slater-index,k_residual_index,randic_index,augmented_randic_index,harmonic_index,atom_bond_connectivity_index,sum_connectivity_index,first_zagreb_index,second_zagreb_index,slater,sub_total_domination_number,CW_disparity,closed_CW_disparity,inverse_disparity,closed_inverse_disparity,average_vertex_disparity,average_closed_vertex_disparity,irregularity,2-residue,number_of_degree_one_nodes,average_degree,number_of_min_degree_nodes,number_of_max_degree_nodes,is_bipartite,is_eulerian,is_planar,is_regular,is_cubic,is_not_K_n,is_triangle_free,is_claw_free,is_tree,is_at_free,has_bridges,is_chordal,is_2_edge_connected,is_distance_regular,is_strongly_regular,is_semieulerian,is_bull_free,is_complete_graph,is_sub_cubic,name,paired_domination_number,power_domination_number,2-power_domination_number,2-domination_number,2-forcing_number,total_forcing_number
G29.txt,Short complex ,1,2,1,1,4,1,1,5,1,5,2,2,3,4,4,5,1,2,4,3,1,56.0696678,1,1,1,10,5,1,1,2.5,2.5,2.5,6.123724357,3.535533906,80,160,1,2,2.5,2.5,5,5,1,1,1,1.5,0,4,5,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,graph-21,2,1,1,2,3,4
G3.txt,Short complex ,1,2,1,2,1,2,1,3,1,2,1,1,4,1,2,2,2,2,1,1000000,0.666666667,5.356367113,0,0.833333333,0,4,1,1,1,1.414213562,1,1.333333333,1.414213562,1.154700538,6,4,1,2,1.5,1,3,1.5,1,2,2,2,2,1.333333333,2,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,graph-22,2,1,1,2,1,2
G30.txt,Long complex,2,2,1,4,2,3,2,6,3,2,2,1,8,1,3,2,4,4,2,1000000,0.333333333,12.61055265,0,0.622222222,0,29,0.438447187,1,1,2.64273441,1.666666667,2.333333333,3.93265299,2.40824829,22,21,2,2,2.666666667,2,5,3,1.333333333,2,2,4,4,1.666666667,4,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,graph-23,2,2,1,4,1,4
G31.txt,Long complex,2,3,1,3,2,4,2,6,2,2,3,2,8,1,3,2,3,3,3,4,0.4,14.32635766,0,0.65,0,29,0.438447187,1,1,2.931851653,2.5,2.866666667,4.242640687,2.918991056,26,28,2,3,2.5,2.083333333,4.5,3.333333333,1.5,2,2.238095238,3.5,1,2,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,graph-24,4,1,1,3,1,2
G32.txt,Long rising,2,2,1,2,2,3,2,6,2,3,3,2,6,2,4,3,2,3,4,3,0.6,29.13572911,0.6,0.788888889,0.851851852,22,1.186393497,1,1,2.9283039,2.416666667,2.85952381,6.022788458,3.576335055,58,92,2,2,1.833333333,1.5,2.666666667,2,2.333333333,3,3,3,0,3,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,graph-25,2,1,1,3,1,2
G33.txt,Long rising,2,2,1,2,3,3,2,6,2,4,3,2,7,1,4,4,2,3,4,3,0.6,32.84085642,0.714285714,0.777777778,0.666666667,23,0.763932023,1,1,2.89273441,2.416666667,2.797619048,5.968519029,3.529588519,60,100,2,2,2.166666667,1.916666667,3.5,2.833333333,1.833333333,2.166666667,2.285714286,3,1,3,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,graph-26,2,1,1,3,1,3
G34.txt,Short complex ,2,2,1,6,6,2,2,8,2,2,2,2,6,2,6,2,5,6,2,4,0.428571429,37.97904662,0,0.714285714,0,44,2,1,6,3.464101615,2,3,8.485281374,4.242640687,96,144,2,2,4,2.666666667,8,4,1,2,2,5.5,0,3,6,2,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,graph-27,2,1,1,2,4,6
G35.txt,Long rising,3,5,1,6,3,7,4,11,3,2,5,4,14,1,3,2,4,6,5,4,0.218181818,27.67401101,0,0.484415584,0,158,0.186393497,1,3,5.360173345,4.666666667,5.233333333,8.554231059,5.591529863,56,64,3,4,4,3.75,6.5,5.833333333,1.818181818,2,2.151515152,5.5,1,2.181818182,1,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,graph-28,6,2,1,6,1,4
G36.txt,Long rising,4,6,1,5,2,7,4,10,4,2,5,3,18,1,3,2,4,6,5,1000000,0.2,21.53592212,0,0.452063492,0,141,0.147892279,2,2,4.846065215,4,4.7,6.363961031,4.573691594,36,36,3,5,4.166666667,3.416666667,7.5,5.333333333,1.5,2,2.163636364,6,3,1.8,3,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,graph-29,6,1,1,6,1,3
G37.txt,Medium rising,1,2,1,3,3,2,1,6,1,4,3,2,6,1,5,4,3,4,3,3,0.6,33.79260548,0.652173913,0.8,0.722222222,21,1,1,1,2.767682932,2.083333333,2.579365079,6.122820911,3.399078405,64,106,1,2,1.783333333,1.45,2.75,1.95,2.666666667,3.333333333,3.761904762,3.5,1,3,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,graph-30,2,1,1,3,1,3
